country,Year,GDP.per.capita.PPP.current.international,polity2
Grenada,2001,6303.47285,NA
Grenada,2002,6528.138807,NA
Grenada,2003,7212.879019,NA
Grenada,2004,6917.548431,NA
Grenada,2005,7984.90966,NA
Grenada,2006,8060.172495,NA
Grenada,2007,8685.14272,NA
Grenada,2008,8923.10519,NA
Grenada,2009,8361.836576,NA
Grenada,2010,NA,NA
Guatemala,2000,3511.903056,8
Guatemala,2001,3587.315526,8
Guatemala,2002,3694.34569,8
Guatemala,2003,3774.238084,8
Guatemala,2004,3904.743611,8
Guatemala,2005,4063.956329,8
Guatemala,2006,4313.667427,8
Guatemala,2007,4627.240634,8
Guatemala,2008,4765.794739,8
Guatemala,2009,4719.513095,8
Guatemala,2010,NA,NA
Guinea,2000,782.3309935,-1
Guinea,2001,807.5920538,-1
Guinea,2002,835.8943176,-1
Guinea,2003,883.5343659,-1
Guinea,2004,912.2967063,-1
Guinea,2005,951.9956471,-1
Guinea,2006,987.0427817,-1
Guinea,2007,1016.856603,-1
Guinea,2008,1066.213678,-1
Guinea,2009,1047.798189,-1
Guinea,2010,NA,NA
Guyana,2000,2141.561344,6
Guyana,2001,2236.681948,6
Guyana,2002,2291.886174,6
Guyana,2003,2311.60777,6
Guyana,2004,2449.62469,6
Guyana,2005,2477.941881,6
Guyana,2006,2688.235651,6
Guyana,2007,2975.651357,6
Guyana,2008,3104.210376,6
Guyana,2009,3239.997619,6
Guyana,2010,NA,NA
Haiti,2000,1007.545264,-2
Haiti,2001,1001.790835,-2
Haiti,2002,998.2158904,-2
Haiti,2003,1006.425654,-2
Haiti,2004,982.1797243,0
Haiti,2005,1016.411177,3
Haiti,2006,1055.784815,5
Haiti,2007,1110.401682,5
Haiti,2008,1126.142158,5
Haiti,2009,1151.035213,5
Haiti,2010,NA,NA
Hongkong,2000,26400.84227,NA
Hongkong,2001,26934.40863,NA
Hongkong,2002,27752.71554,NA
Hongkong,2003,29260.79309,NA
Hongkong,2004,32384.25881,NA
Hongkong,2005,35677.91851,NA
Hongkong,2006,39171.87688,NA
Hongkong,2007,42671.66481,NA
Hongkong,2008,44217.49676,NA
Hongkong,2009,43229.22427,NA
Hongkong,2010,NA,NA
Honduras,2000,2554.893408,7
Honduras,2001,2629.448626,7
Honduras,2002,2716.777068,7
Honduras,2003,2843.645951,7
Honduras,2004,3044.763593,7
Honduras,2005,3270.46489,7
Honduras,2006,3527.252193,7
Honduras,2007,3801.44068,7
Honduras,2008,3958.967658,7
Honduras,2009,3841.59057,7
Honduras,2010,NA,NA
Hungary,2000,12264.14513,10
Hungary,2001,13515.4073,10
Hungary,2002,14694.24915,10
Hungary,2003,15487.18493,10
Hungary,2004,16217.47511,10
Hungary,2005,16955.15681,10
Hungary,2006,18364.09595,10
Hungary,2007,19306.95072,10
Hungary,2008,20596.69053,10
Hungary,2009,20311.73128,10
Hungary,2010,NA,NA
India,2000,1568.183373,9
India,2001,1660.352669,9
India,2002,1723.890881,9
India,2003,1880.208807,9
India,2004,2063.85324,9
India,2005,2299.763102,9
India,2006,2559.125853,9
India,2007,2867.957053,9
India,2008,3034.260594,9
India,2009,3296.361048,9
India,2010,NA,NA
Indonesia,2000,2416.912553,6
Indonesia,2001,2527.495764,6
Indonesia,2002,2648.553834,6
Indonesia,2003,2797.861904,6
Indonesia,2004,2982.994959,8
Indonesia,2005,3216.814978,8
Indonesia,2006,3460.841864,8
Indonesia,2007,3760.534519,8
Indonesia,2008,4025.62217,8
Indonesia,2009,4198.778903,8
Indonesia,2010,NA,NA
"Iran, Islamic Rep.",2000,6796.234829,3
"Iran, Islamic Rep.",2001,7090.072434,3
"Iran, Islamic Rep.",2002,7625.261124,3
"Iran, Islamic Rep.",2003,8215.580692,3
"Iran, Islamic Rep.",2004,8744.338984,-6
"Iran, Islamic Rep.",2005,9314.382846,-6
"Iran, Islamic Rep.",2006,10037.31532,-6
"Iran, Islamic Rep.",2007,11048.08131,-6
"Iran, Islamic Rep.",2008,11399.1507,-6
"Iran, Islamic Rep.",2009,11558.38263,-7
"Iran, Islamic Rep.",2010,NA,NA
Iraq,2000,3960.533882,-9
Iraq,2001,3688.953103,-9
Iraq,2002,3370.537617,-9
Iraq,2003,1970.901495,NA
Iraq,2004,2895.396812,NA
Iraq,2005,2897.141923,NA
Iraq,2006,3097.842429,NA
Iraq,2007,3171.190379,NA
Iraq,2008,3460.132288,NA
Iraq,2009,3547.998972,NA
Iraq,2010,NA,NA
Israel,2000,23508.93288,10
Israel,2001,23476.94977,10
Israel,2002,23535.16829,10
Israel,2003,22303.2658,10
Israel,2004,23645.22958,10
Israel,2005,23390.11179,10
Israel,2006,24900.06387,10
Israel,2007,26424.13683,10
Israel,2008,27651.79637,10
Israel,2009,27655.93989,10
Israel,2010,NA,NA
Jamaica,2000,5791.012713,9
Jamaica,2001,5966.469038,9
Jamaica,2002,6092.517743,9
Jamaica,2003,6516.626118,9
Jamaica,2004,6762.741713,9
Jamaica,2005,7027.444445,9
Jamaica,2006,7417.135988,9
Jamaica,2007,7743.971665,9
Jamaica,2008,7836.952056,9
Jamaica,2009,7632.56129,9
Jamaica,2010,NA,NA
Jordan,2000,3182.554906,-2
Jordan,2001,3342.599543,-2
Jordan,2002,3507.491446,-2
Jordan,2003,3641.716232,-2
Jordan,2004,3968.637534,-2
Jordan,2005,4334.477445,-2
Jordan,2006,4717.217897,-2
Jordan,2007,5168.884407,-3
Jordan,2008,5549.796491,-3
Jordan,2009,5596.991268,-3
Jordan,2010,NA,NA
Kenya,2000,1130.708279,-2
Kenya,2001,1169.231329,-2
Kenya,2002,1164.08356,8
Kenya,2003,1192.615592,8
Kenya,2004,1255.816675,8
Kenya,2005,1338.796268,8
Kenya,2006,1431.525812,8
Kenya,2007,1543.072755,7
Kenya,2008,1559.553351,7
Kenya,2009,1572.574756,7
Kenya,2010,NA,NA
Kiribati,2000,2087.286082,NA
Kiribati,2001,2031.757561,NA
Kiribati,2002,2152.39561,NA
Kiribati,2003,2255.638664,NA
Kiribati,2004,2298.671467,NA
Kiribati,2005,2341.226192,NA
Kiribati,2006,2422.474342,NA
Kiribati,2007,2475.625701,NA
Kiribati,2008,2463.347562,NA
Kiribati,2009,2432.209023,NA
Kiribati,2010,NA,NA
Kosovo,2000,NA,NA
Kosovo,2001,NA,NA
Kosovo,2002,NA,NA
Kosovo,2003,NA,NA
Kosovo,2004,NA,NA
Kosovo,2005,NA,NA
Kosovo,2006,NA,NA
Kosovo,2007,NA,NA
Kosovo,2008,NA,8
Kosovo,2009,NA,8
Kosovo,2010,NA,NA
Kuwait,2000,30131.34481,-7
Kuwait,2001,29879.40712,-7
Kuwait,2002,30473.15649,-7
Kuwait,2003,35584.44967,-7
Kuwait,2004,39290.7677,-7
Kuwait,2005,43560.22172,-7
Kuwait,2006,46150.93568,-7
Kuwait,2007,48631.31921,-7
Kuwait,2008,NA,-7
Kuwait,2009,NA,-7
Kuwait,2010,NA,NA
Kyrgyz Republic,2000,1331.048737,-3
Kyrgyz Republic,2001,1422.309347,-3
Kyrgyz Republic,2002,1434.050911,-3
Kyrgyz Republic,2003,1553.497739,-3
Kyrgyz Republic,2004,1691.592037,-3
Kyrgyz Republic,2005,1727.732995,3
Kyrgyz Republic,2006,1822.065142,4
Kyrgyz Republic,2007,2028.807249,3
Kyrgyz Republic,2008,2228.986379,3
Kyrgyz Republic,2009,2283.305442,1
Kyrgyz Republic,2010,NA,NA
Kazakhstan,2000,4791.560322,-4
Kazakhstan,2001,5571.1878,-4
Kazakhstan,2002,6216.290615,-6
Kazakhstan,2003,6917.526653,-6
Kazakhstan,2004,7742.506146,-6
Kazakhstan,2005,8699.114736,-6
Kazakhstan,2006,9838.496055,-6
Kazakhstan,2007,10955.23575,-6
Kazakhstan,2008,11424.12411,-6
Kazakhstan,2009,11509.93217,-6
Kazakhstan,2010,NA,NA
Lao PDR,2000,1175.842811,-7
Lao PDR,2001,1248.422586,-7
Lao PDR,2002,1321.063438,-7
Lao PDR,2003,1409.15217,-7
Lao PDR,2004,1517.200334,-7
Lao PDR,2005,1651.302521,-7
Lao PDR,2006,1818.132852,-7
Lao PDR,2007,1987.706395,-7
Lao PDR,2008,2138.984473,-7
Lao PDR,2009,2255.440818,-7
Lao PDR,2010,NA,NA
Latvia,2000,8040.234928,8
Latvia,2001,8901.10586,8
Latvia,2002,9869.138353,8
Latvia,2003,10616.91759,8
Latvia,2004,11734.65837,8
Latvia,2005,13037.86031,8
Latvia,2006,14983.97009,8
Latvia,2007,17175.14402,8
Latvia,2008,18324.18786,8
Latvia,2009,16437.41106,8
Latvia,2010,NA,NA
Liberia,2000,426.5290721,0
Liberia,2001,428.651413,0
Liberia,2002,437.0513084,0
Liberia,2003,298.8088614,1
Liberia,2004,306.7826347,3
Liberia,2005,322.8436785,5
Liberia,2006,345.1827864,6
Liberia,2007,373.7442492,6
Liberia,2008,391.1190445,6
